uprn,lat,lon
10001312161,50.922605,-1.376604
10001312162,50.9230923,-1.3769105
10001312163,50.923157,-1.3772369
10001312167,50.923247,-1.3772499
10001312168,50.923301,-1.3772634
10001312450,50.9183542,-1.385538
10001312451,50.9183452,-1.3855381
10001312452,50.9183452,-1.3855381
10001312453,50.9183452,-1.3855381
10001312454,50.9183452,-1.3855381
10001312455,50.9183452,-1.3855381
10001312456,50.9183452,-1.3855381
10001312457,50.9183452,-1.3855381
10001312458,50.9183452,-1.3855381
10001312459,50.9183452,-1.3855381
10001312460,50.9183452,-1.3855381
10001312461,50.9183452,-1.3855381
10001312462,50.9183452,-1.3855381
10001312463,50.9183452,-1.3855381
10001312464,50.9183452,-1.3855381
10001312465,50.9183452,-1.3855381
10001312466,50.9183452,-1.3855381
10001312467,50.9183452,-1.3855381
10001312468,50.9183452,-1.3855381
10001312469,50.9183452,-1.3855381
10001312470,50.9183452,-1.3855381
10001312471,50.9183452,-1.3855381
10001312472,50.9183452,-1.3855381
10001312473,50.9183452,-1.3855381
10001312474,50.9183452,-1.3855381
10001312476,50.9181958,-1.3862087
10001312477,50.9181958,-1.3862087
10001312478,50.9181958,-1.3862087
10001312479,50.9181958,-1.3862087
10001312480,50.9181958,-1.3862087
10001312481,50.9181958,-1.3862087
10001312482,50.9181958,-1.3862087
10001312483,50.9181958,-1.3862087
10001312484,50.9181958,-1.3862087
10001312485,50.9181958,-1.3862087
10001312486,50.9181958,-1.3862087
10001312487,50.9181958,-1.3862087
10001312488,50.9181958,-1.3862087
10001312489,50.9181958,-1.3862087
10001312490,50.9181958,-1.3862087
10001312491,50.9181958,-1.3862087
10001312492,50.9181958,-1.3862087
10001312493,50.9181958,-1.3862087
10001312494,50.9181958,-1.3862087
10001312495,50.9181958,-1.3862087
10001312496,50.9181958,-1.3862087
10001312497,50.9181958,-1.3862087
10001312498,50.9181958,-1.3862087
10001312499,50.9181958,-1.3862087
10001312500,50.9181958,-1.3862087
10001312501,50.9181958,-1.3862087
10001312502,50.9181958,-1.3862087
10001312503,50.9181958,-1.3862087
10001312504,50.9181958,-1.3862087
10001312505,50.9181958,-1.3862087
10001312506,50.9181958,-1.3862087
10001312507,50.9181958,-1.3862087
10001312508,50.9181958,-1.3862087
10001312509,50.9181958,-1.3862087
10001312510,50.9181958,-1.3862087
10001312511,50.9181958,-1.3862087
10001312512,50.9181958,-1.3862087
10001312513,50.9181958,-1.3862087
10001312514,50.9181958,-1.3862087
10001312515,50.9181958,-1.3862087
10001312516,50.9181958,-1.3862087
10001312584,50.9313391,-1.3603782
10001312585,50.9315662,-1.360802
10001312586,50.9313645,-1.3617297
10001312587,50.9315721,-1.3618692
10001312631,50.9295033,-1.3601331
10001312632,50.9295778,-1.3606017
10001312633,50.9234331,-1.3767352
10001312634,50.923722,-1.3769448
10001312635,50.9237412,-1.3771722
10001312636,50.9236731,-1.3762198
10001312637,50.9234753,-1.3762225
10001313479,50.9319181,-1.3844057
10001313480,50.9319181,-1.3844057
10001313481,50.9319181,-1.3844057
10001313482,50.9319181,-1.3844057
10001313483,50.9319181,-1.3844057
10001313484,50.9319181,-1.3844057
10001313612,50.9285655,-1.3863994
10001313613,50.9285655,-1.3863994
10001313614,50.9285655,-1.3863994
10001313657,50.9249393,-1.3658731
10001313721,50.9218471,-1.3896606
10001313722,50.9240957,-1.389745
10001313723,50.9240957,-1.389745
10001313724,50.926156,-1.3882098
10001313725,50.9269981,-1.3876011
10001313726,50.9269981,-1.3876011
10001313727,50.9269981,-1.3876011
10001313728,50.9269981,-1.3876011
10001313729,50.9269981,-1.3876011
10001313730,50.9269981,-1.3876011
10001313734,50.9207849,-1.3877396
10001313735,50.9212089,-1.3880044
10001313736,50.9212089,-1.3880044
10001313756,50.9217707,-1.3871007
10001313757,50.9217707,-1.3871007
10001313761,50.9167089,-1.3688017
10001313762,50.9166853,-1.3686927
10001313763,50.9167089,-1.3688017
10001313764,50.9166852,-1.3686925
10001313765,50.9166867,-1.3686925
10001313766,50.9166867,-1.3686901
10001313767,50.9167089,-1.3688017
10001313768,50.9167113,-1.3689596
10001313769,50.9167105,-1.3689596
10001313770,50.9167113,-1.3689583
10001313771,50.9167105,-1.3689596
10001313772,50.9167113,-1.3689596
10001313773,50.9167105,-1.3689583
10001313774,50.9167097,-1.3689584
10001313811,50.9177266,-1.3808232
10001313812,50.9177266,-1.3808232
10001313813,50.917433,-1.3746957
10001313814,50.917387,-1.3744972
10001313815,50.917387,-1.3744972
10001313816,50.9166354,-1.3685182
10001313817,50.9166354,-1.3685182
10001313818,50.9166354,-1.3685182
10001313819,50.9166354,-1.3685182
10001313820,50.9166354,-1.3685182
10001313821,50.9166354,-1.3685182
10001313822,50.9166354,-1.3685182
10001313823,50.9166354,-1.3685182
10001313824,50.9147859,-1.3624264
10001313825,50.9148034,-1.3623408
10001313826,50.9148118,-1.3622411
10001313830,50.9146751,-1.3602515
10001313833,50.9143492,-1.3615078
10001313850,50.9143525,-1.3621052
10001313851,50.9142975,-1.361921
10001313852,50.9142966,-1.3617645
10001313853,50.9142963,-1.3617076
10001313854,50.9143318,-1.3616076
10001313855,50.9142945,-1.3613663
10001313858,50.9148034,-1.3623408
10001313859,50.9146917,-1.3616453
10001313860,50.9146824,-1.3615886
10001313861,50.9146819,-1.3615032
10001313862,50.9146814,-1.3614179
10001313863,50.91469,-1.3613324
10001313864,50.9146896,-1.3612755
10001313865,50.9146802,-1.3611903
10001313866,50.9146706,-1.3610766
10001313867,50.9146908,-1.3610692
10001313868,50.9146783,-1.3608489
10001313869,50.9146775,-1.3607067
10001313870,50.9146771,-1.3606213
10001313871,50.9146768,-1.3605644
10001313872,50.9146764,-1.3604933
10001313873,50.9146759,-1.360408
10001313874,50.914674,-1.3600666
10001313887,50.9143779,-1.3601844
10001313901,50.9141194,-1.3639007
10001313904,50.9311611,-1.3874894
10001314209,50.9288034,-1.3837781
10001314210,50.9287854,-1.3837926
10001314211,50.9288034,-1.3837923
10001314250,50.9175369,-1.375619
10001314251,50.9175369,-1.375619
10001314252,50.9175369,-1.375619
10001314253,50.920255,-1.37103
10001314254,50.9202272,-1.3708882
10001314255,50.9201996,-1.3707605
10001314256,50.9201807,-1.37059
10001314467,50.9199333,-1.3899844
10001314468,50.9199333,-1.3899844
10001314469,50.9199333,-1.3899844
10001314470,50.9199333,-1.3899844
10001314471,50.9199333,-1.3899844
10001314472,50.9199333,-1.3899844
10001314473,50.9199333,-1.3899844
10001314474,50.9199333,-1.3899844
10001314475,50.9199333,-1.3899844
